,iv
age,1.2106460577804914
workclass,0.13002537171330103
education,0.7364816251178544
education_num,0.7347350720785449
martial_status,1.3448584763110265
occupation,0.7685463177164474
relationship,1.5397358157223764
race,0.06930288719934367
sex,0.3052434398180219
capital_gain,0.9299357582752323
capital_loss,0.0978208289065405
hours_per_week,0.4632380938530197
native_country,0.07463905984984703
